,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,Symbol,Name,Stock Sector,Industry Name,Market Cap (m),Dividend Yield (%),Last (Close),Unnamed: 7
7537,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,PROUD,Proud Real Estate PCL,Real Estate,Real Estate - Development,898.057,-,1.4,THB
7538,P/E,12.93,,,,,PROUD,Proud Real Estate PCL,Real Estate,Real Estate - Development,898.057,-,1.4,THB
7539,P/BV,1.89,1.15,2.24,1.26,1.03,PROUD,Proud Real Estate PCL,Real Estate,Real Estate - Development,898.057,-,1.4,THB
7540,Book Value per share (Baht),1.09,0.97,0.70,1.17,1.15,PROUD,Proud Real Estate PCL,Real Estate,Real Estate - Development,898.057,-,1.4,THB
7541,Dvd. Yield(%),,,,,,PROUD,Proud Real Estate PCL,Real Estate,Real Estate - Development,898.057,-,1.4,THB
7542,Assets,66343.71,72243.69,81845.12,86781.55,,PSH,Pruksa Holding PCL,Real Estate,Real Estate - Development,32397.2,10.81,14.8,THB
7543,Liabilities,30179.77,33584.15,39970.64,42989.54,,PSH,Pruksa Holding PCL,Real Estate,Real Estate - Development,32397.2,10.81,14.8,THB
7544,Equity,35412.53,37909.09,41170.95,43055.54,,PSH,Pruksa Holding PCL,Real Estate,Real Estate - Development,32397.2,10.81,14.8,THB
7545,Paid-up Capital,2185.86,2186.80,2188.50,2188.50,,PSH,Pruksa Holding PCL,Real Estate,Real Estate - Development,32397.2,10.81,14.8,THB
7546,Revenue,47173.24,44112.90,45070.52,40152.24,,PSH,Pruksa Holding PCL,Real Estate,Real Estate - Development,32397.2,10.81,14.8,THB
7547,Net Profit,5940.29,5456.42,6022.37,5358.81,,PSH,Pruksa Holding PCL,Real Estate,Real Estate - Development,32397.2,10.81,14.8,THB
7548,EPS (Baht),2.72,2.50,2.75,2.45,,PSH,Pruksa Holding PCL,Real Estate,Real Estate - Development,32397.2,10.81,14.8,THB
7549,ROA(%),11.81,10.61,10.16,8.70,,PSH,Pruksa Holding PCL,Real Estate,Real Estate - Development,32397.2,10.81,14.8,THB
7550,ROE(%),16.77,14.88,15.23,12.72,,PSH,Pruksa Holding PCL,Real Estate,Real Estate - Development,32397.2,10.81,14.8,THB
7551,Net Profit Margin(%),12.59,12.37,13.36,13.35,,PSH,Pruksa Holding PCL,Real Estate,Real Estate - Development,32397.2,10.81,14.8,THB
7552,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,PSH,Pruksa Holding PCL,Real Estate,Real Estate - Development,32397.2,10.81,14.8,THB
7553,Last Price(Baht),22.50,23.50,17.30,14.80,10.60,PSH,Pruksa Holding PCL,Real Estate,Real Estate - Development,32397.2,10.81,14.8,THB
7554,Market Cap.,49181.80,51389.72,37861.14,32389.87,23198.15,PSH,Pruksa Holding PCL,Real Estate,Real Estate - Development,32397.2,10.81,14.8,THB
7555,F/S Period (As of date),,30/09/2017,30/09/2018,30/09/2019,31/12/2019,PSH,Pruksa Holding PCL,Real Estate,Real Estate - Development,32397.2,10.81,14.8,THB
7556,P/E,,9.06,6.58,5.85,4.33,PSH,Pruksa Holding PCL,Real Estate,Real Estate - Development,32397.2,10.81,14.8,THB
7557,P/BV,-,1.42,0.97,0.79,0.54,PSH,Pruksa Holding PCL,Real Estate,Real Estate - Development,32397.2,10.81,14.8,THB
7558,Book Value per share (Baht),N.A.,16.54,17.89,18.85,19.67,PSH,Pruksa Holding PCL,Real Estate,Real Estate - Development,32397.2,10.81,14.8,THB
7559,Dvd. Yield(%),7.94,2.61,12.07,10.47,14.62,PSH,Pruksa Holding PCL,Real Estate,Real Estate - Development,32397.2,10.81,14.8,THB
7560,Assets,12526.57,17985.38,20939.73,22651.87,,PTG,PTG Energy PCL,Consumer Cyclical,Specialty Retail,26720.0,1.25,16,THB
7561,Liabilities,7937.30,12866.83,15463.91,15944.38,,PTG,PTG Energy PCL,Consumer Cyclical,Specialty Retail,26720.0,1.25,16,THB
7562,Equity,4575.25,5104.55,5444.03,6647.52,,PTG,PTG Energy PCL,Consumer Cyclical,Specialty Retail,26720.0,1.25,16,THB
7563,Paid-up Capital,1670.00,1670.00,1670.00,1670.00,,PTG,PTG Energy PCL,Consumer Cyclical,Specialty Retail,26720.0,1.25,16,THB
7564,Revenue,64926.54,84904.78,108142.00,120291.46,,PTG,PTG Energy PCL,Consumer Cyclical,Specialty Retail,26720.0,1.25,16,THB
7565,Net Profit,1073.45,913.10,624.74,1560.68,,PTG,PTG Energy PCL,Consumer Cyclical,Specialty Retail,26720.0,1.25,16,THB
7566,EPS (Baht),0.64,0.55,0.37,0.93,,PTG,PTG Energy PCL,Consumer Cyclical,Specialty Retail,26720.0,1.25,16,THB
7567,ROA(%),14.37,8.23,5.31,10.36,,PTG,PTG Energy PCL,Consumer Cyclical,Specialty Retail,26720.0,1.25,16,THB
7568,ROE(%),25.03,18.87,11.85,25.81,,PTG,PTG Energy PCL,Consumer Cyclical,Specialty Retail,26720.0,1.25,16,THB
7569,Net Profit Margin(%),1.65,1.08,0.58,1.30,,PTG,PTG Energy PCL,Consumer Cyclical,Specialty Retail,26720.0,1.25,16,THB
7570,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,PTG,PTG Energy PCL,Consumer Cyclical,Specialty Retail,26720.0,1.25,16,THB
7571,Last Price(Baht),32.75,21.80,8.60,16.10,14.00,PTG,PTG Energy PCL,Consumer Cyclical,Specialty Retail,26720.0,1.25,16,THB
7572,Market Cap.,54692.50,36406.00,14362.00,26887.00,23380.00,PTG,PTG Energy PCL,Consumer Cyclical,Specialty Retail,26720.0,1.25,16,THB
7573,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,PTG,PTG Energy PCL,Consumer Cyclical,Specialty Retail,26720.0,1.25,16,THB
7574,P/E,53.86,37.11,20.91,19.47,14.98,PTG,PTG Energy PCL,Consumer Cyclical,Specialty Retail,26720.0,1.25,16,THB
7575,P/BV,12.85,7.46,2.73,4.27,3.52,PTG,PTG Energy PCL,Consumer Cyclical,Specialty Retail,26720.0,1.25,16,THB
7576,Book Value per share (Baht),2.55,2.92,3.15,3.77,3.98,PTG,PTG Energy PCL,Consumer Cyclical,Specialty Retail,26720.0,1.25,16,THB
7577,Dvd. Yield(%),0.61,1.38,1.98,1.24,1.43,PTG,PTG Energy PCL,Consumer Cyclical,Specialty Retail,26720.0,1.25,16,THB
7578,Assets,676889.53,628121.29,635087.33,669464.01,730668.43,PTTEP,PTT Exploration & Production PCL,Energy,Oil & Gas E&P,494263.182,4.42,124.5,THB
7579,Liabilities,268905.61,251746.57,245023.94,312405.29,352919.36,PTTEP,PTT Exploration & Production PCL,Energy,Oil & Gas E&P,494263.182,4.42,124.5,THB
7580,Equity,407983.92,376374.73,390063.39,357058.71,377749.07,PTTEP,PTT Exploration & Production PCL,Energy,Oil & Gas E&P,494263.182,4.42,124.5,THB
7581,Paid-up Capital,3969.99,3969.99,3969.99,3969.99,3969.99,PTTEP,PTT Exploration & Production PCL,Energy,Oil & Gas E&P,494263.182,4.42,124.5,THB
7582,Revenue,153046.65,153526.45,176943.16,199202.10,55773.51,PTTEP,PTT Exploration & Production PCL,Energy,Oil & Gas E&P,494263.182,4.42,124.5,THB
7583,Net Profit,12859.72,20579.46,36206.29,48802.54,8612.48,PTTEP,PTT Exploration & Production PCL,Energy,Oil & Gas E&P,494263.182,4.42,124.5,THB
7584,EPS (Baht),2.76,4.54,8.69,11.72,2.14,PTTEP,PTT Exploration & Production PCL,Energy,Oil & Gas E&P,494263.182,4.42,124.5,THB
7585,ROA(%),4.37,5.25,10.72,11.81,12.27,PTTEP,PTT Exploration & Production PCL,Energy,Oil & Gas E&P,494263.182,4.42,124.5,THB
7586,ROE(%),3.15,5.25,9.45,13.06,11.84,PTTEP,PTT Exploration & Production PCL,Energy,Oil & Gas E&P,494263.182,4.42,124.5,THB
7587,Net Profit Margin(%),8.40,13.40,20.46,24.50,15.44,PTTEP,PTT Exploration & Production PCL,Energy,Oil & Gas E&P,494263.182,4.42,124.5,THB
7588,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,PTTEP,PTT Exploration & Production PCL,Energy,Oil & Gas E&P,494263.182,4.42,124.5,THB
7589,Last Price(Baht),96.25,100.00,113.50,124.50,84.00,PTTEP,PTT Exploration & Production PCL,Energy,Oil & Gas E&P,494263.182,4.42,124.5,THB
7590,Market Cap.,382111.09,396998.54,450593.34,494263.18,333478.77,PTTEP,PTT Exploration & Production PCL,Energy,Oil & Gas E&P,494263.182,4.42,124.5,THB
7591,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/03/2020,PTTEP,PTT Exploration & Production PCL,Energy,Oil & Gas E&P,494263.182,4.42,124.5,THB
7592,P/E,20.74,38.67,12.24,10.74,7.42,PTTEP,PTT Exploration & Production PCL,Energy,Oil & Gas E&P,494263.182,4.42,124.5,THB
7593,P/BV,0.96,1.06,1.18,1.35,0.88,PTTEP,PTT Exploration & Production PCL,Energy,Oil & Gas E&P,494263.182,4.42,124.5,THB
7594,Book Value per share (Baht),99.81,94.38,96.14,92.17,95.15,PTTEP,PTT Exploration & Production PCL,Energy,Oil & Gas E&P,494263.182,4.42,124.5,THB
7595,Dvd. Yield(%),3.12,3.25,3.74,4.02,7.14,PTTEP,PTT Exploration & Production PCL,Energy,Oil & Gas E&P,494263.182,4.42,124.5,THB
7596,Assets,393166.20,434963.93,469255.35,452514.39,442747.30,PTTGC,PTT Global Chemical PCL,Basic Materials,Chemicals,253490.025,6.19,56.5,THB
7597,Liabilities,144497.44,154699.83,165773.14,158919.04,158699.88,PTTGC,PTT Global Chemical PCL,Basic Materials,Chemicals,253490.025,6.19,56.5,THB
7598,Equity,246015.75,274869.72,296045.76,285830.17,276311.49,PTTGC,PTT Global Chemical PCL,Basic Materials,Chemicals,253490.025,6.19,56.5,THB
7599,Paid-up Capital,45088.49,45088.49,45088.49,45088.49,45088.49,PTTGC,PTT Global Chemical PCL,Basic Materials,Chemicals,253490.025,6.19,56.5,THB
7600,Revenue,353036.20,448880.62,529734.02,422973.52,95546.38,PTTGC,PTT Global Chemical PCL,Basic Materials,Chemicals,253490.025,6.19,56.5,THB
7601,Net Profit,25601.63,39298.31,40069.49,11682.08,-8784.12,PTTGC,PTT Global Chemical PCL,Basic Materials,Chemicals,253490.025,6.19,56.5,THB
7602,EPS (Baht),5.74,8.79,8.89,2.59,-1.96,PTTGC,PTT Global Chemical PCL,Basic Materials,Chemicals,253490.025,6.19,56.5,THB
7603,ROA(%),8.60,12.06,10.36,3.50,-0.27,PTTGC,PTT Global Chemical PCL,Basic Materials,Chemicals,253490.025,6.19,56.5,THB
7604,ROE(%),10.72,15.09,14.04,4.02,-1.23,PTTGC,PTT Global Chemical PCL,Basic Materials,Chemicals,253490.025,6.19,56.5,THB
7605,Net Profit Margin(%),7.25,8.75,7.56,2.76,-9.19,PTTGC,PTT Global Chemical PCL,Basic Materials,Chemicals,253490.025,6.19,56.5,THB
7606,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,PTTGC,PTT Global Chemical PCL,Basic Materials,Chemicals,253490.025,6.19,56.5,THB
7607,Last Price(Baht),63.00,85.00,71.25,57.00,41.25,PTTGC,PTT Global Chemical PCL,Basic Materials,Chemicals,253490.025,6.19,56.5,THB
7608,Market Cap.,284057.49,383252.17,321255.50,257004.40,185990.03,PTTGC,PTT Global Chemical PCL,Basic Materials,Chemicals,253490.025,6.19,56.5,THB
7609,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/03/2020,PTTGC,PTT Global Chemical PCL,Basic Materials,Chemicals,253490.025,6.19,56.5,THB
7610,P/E,13.68,9.16,7.05,16.64,,PTTGC,PTT Global Chemical PCL,Basic Materials,Chemicals,253490.025,6.19,56.5,THB
7611,P/BV,1.19,1.45,1.10,0.89,0.67,PTTGC,PTT Global Chemical PCL,Basic Materials,Chemicals,253490.025,6.19,56.5,THB
7612,Book Value per share (Baht),52.92,58.90,64.79,63.64,61.59,PTTGC,PTT Global Chemical PCL,Basic Materials,Chemicals,253490.025,6.19,56.5,THB
7613,Dvd. Yield(%),4.47,3.32,5.94,7.49,4.86,PTTGC,PTT Global Chemical PCL,Basic Materials,Chemicals,253490.025,6.19,56.5,THB
7614,Assets,2232331.08,2232314.16,2355483.87,2484438.68,2499665.55,PTT,Ptt PCL,Energy,Oil & Gas Integrated,1263912.584,4.75,44.25,THB
7615,Liabilities,1060734.07,983758.42,1036989.52,1183399.06,1222702.20,PTT,Ptt PCL,Energy,Oil & Gas Integrated,1263912.584,4.75,44.25,THB
7616,Equity,762947.65,818671.75,875083.83,878604.11,866768.87,PTT,Ptt PCL,Energy,Oil & Gas Integrated,1263912.584,4.75,44.25,THB
7617,Paid-up Capital,28563.00,28563.00,28563.00,28563.00,28563.00,PTT,Ptt PCL,Energy,Oil & Gas Integrated,1263912.584,4.75,44.25,THB
7618,Revenue,1737144.57,2044951.64,2367958.54,2261039.45,497788.28,PTT,Ptt PCL,Energy,Oil & Gas Integrated,1263912.584,4.75,44.25,THB
7619,Net Profit,94609.08,135179.60,119683.94,92950.60,-1554.36,PTT,Ptt PCL,Energy,Oil & Gas Integrated,1263912.584,4.75,44.25,THB
7620,EPS (Baht),32.68,46.74,4.15,3.20,-0.06,PTT,Ptt PCL,Energy,Oil & Gas Integrated,1263912.584,4.75,44.25,THB
7621,ROA(%),8.36,10.84,10.75,7.56,5.21,PTT,Ptt PCL,Energy,Oil & Gas Integrated,1263912.584,4.75,44.25,THB
7622,ROE(%),12.96,17.09,14.13,10.60,7.04,PTT,Ptt PCL,Energy,Oil & Gas Integrated,1263912.584,4.75,44.25,THB
7623,Net Profit Margin(%),5.45,6.61,5.05,4.11,-0.31,PTT,Ptt PCL,Energy,Oil & Gas Integrated,1263912.584,4.75,44.25,THB
7624,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,PTT,Ptt PCL,Energy,Oil & Gas Integrated,1263912.584,4.75,44.25,THB
7625,Last Price(Baht),372.00,440.00,46.00,44.00,36.25,PTT,Ptt PCL,Energy,Oil & Gas Integrated,1263912.584,4.75,44.25,THB
7626,Market Cap.,1062543.46,1256771.84,1313897.83,1256771.84,1035408.61,PTT,Ptt PCL,Energy,Oil & Gas Integrated,1263912.584,4.75,44.25,THB
7627,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/03/2020,PTT,Ptt PCL,Energy,Oil & Gas Integrated,1263912.584,4.75,44.25,THB
7628,P/E,14.03,10.57,9.70,13.22,16.68,PTT,Ptt PCL,Energy,Oil & Gas Integrated,1263912.584,4.75,44.25,THB
7629,P/BV,1.44,1.59,1.54,1.45,1.19,PTT,Ptt PCL,Energy,Oil & Gas Integrated,1263912.584,4.75,44.25,THB
7630,Book Value per share (Baht),258.21,276.87,29.94,30.31,30.35,PTT,Ptt PCL,Energy,Oil & Gas Integrated,1263912.584,4.75,44.25,THB
7631,Dvd. Yield(%),2.69,3.64,4.35,4.55,5.52,PTT,Ptt PCL,Energy,Oil & Gas Integrated,1263912.584,4.75,44.25,THB
7632,Assets,1015.55,923.60,1244.03,1689.44,,PYLON,Pylon PCL,Industrials,Engineering & Construction,3539.402,2.12,4.72,THB
7633,Liabilities,224.72,166.09,377.46,622.34,,PYLON,Pylon PCL,Industrials,Engineering & Construction,3539.402,2.12,4.72,THB
7634,Equity,790.83,757.51,866.57,1067.09,,PYLON,Pylon PCL,Industrials,Engineering & Construction,3539.402,2.12,4.72,THB
7635,Paid-up Capital,374.94,374.94,374.94,374.94,,PYLON,Pylon PCL,Industrials,Engineering & Construction,3539.402,2.12,4.72,THB
7636,Revenue,1077.46,721.27,1445.13,1576.32,,PYLON,Pylon PCL,Industrials,Engineering & Construction,3539.402,2.12,4.72,THB
7637,Net Profit,172.22,101.26,217.79,277.61,,PYLON,Pylon PCL,Industrials,Engineering & Construction,3539.402,2.12,4.72,THB
7638,EPS (Baht),0.46,0.27,0.29,0.37,,PYLON,Pylon PCL,Industrials,Engineering & Construction,3539.402,2.12,4.72,THB
7639,ROA(%),18.72,10.54,24.69,22.59,,PYLON,Pylon PCL,Industrials,Engineering & Construction,3539.402,2.12,4.72,THB
7640,ROE(%),20.17,13.08,26.82,28.71,,PYLON,Pylon PCL,Industrials,Engineering & Construction,3539.402,2.12,4.72,THB
7641,Net Profit Margin(%),15.98,14.04,15.07,17.61,,PYLON,Pylon PCL,Industrials,Engineering & Construction,3539.402,2.12,4.72,THB
7642,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,PYLON,Pylon PCL,Industrials,Engineering & Construction,3539.402,2.12,4.72,THB
7643,Last Price(Baht),12.60,16.10,7.05,4.72,4.26,PYLON,Pylon PCL,Industrials,Engineering & Construction,3539.402,2.12,4.72,THB
7644,Market Cap.,4724.20,6036.48,5286.61,3539.40,3194.46,PYLON,Pylon PCL,Industrials,Engineering & Construction,3539.402,2.12,4.72,THB
7645,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,PYLON,Pylon PCL,Industrials,Engineering & Construction,3539.402,2.12,4.72,THB
7646,P/E,28.28,46.61,29.06,14.39,11.51,PYLON,Pylon PCL,Industrials,Engineering & Construction,3539.402,2.12,4.72,THB
7647,P/BV,6.40,8.23,6.56,3.62,2.99,PYLON,Pylon PCL,Industrials,Engineering & Construction,3539.402,2.12,4.72,THB
7648,Book Value per share (Baht),1.97,1.96,1.08,1.30,1.42,PYLON,Pylon PCL,Industrials,Engineering & Construction,3539.402,2.12,4.72,THB
7649,Dvd. Yield(%),4.21,2.80,1.42,4.66,6.34,PYLON,Pylon PCL,Industrials,Engineering & Construction,3539.402,2.12,4.72,THB
7650,Assets,1220.80,2037.27,1918.98,1856.37,1926.01,QTC,QTC Energy PCL,Industrials,Electrical Equipment & Parts,1432.589,-,4.2,THB
7651,Liabilities,463.14,595.18,477.34,217.55,254.54,QTC,QTC Energy PCL,Industrials,Electrical Equipment & Parts,1432.589,-,4.2,THB
7652,Equity,754.69,1439.45,1439.52,1637.14,1669.70,QTC,QTC Energy PCL,Industrials,Electrical Equipment & Parts,1432.589,-,4.2,THB
7653,Paid-up Capital,270.00,341.09,341.09,341.09,341.09,QTC,QTC Energy PCL,Industrials,Electrical Equipment & Parts,1432.589,-,4.2,THB
7654,Revenue,539.55,917.54,978.35,986.05,237.54,QTC,QTC Energy PCL,Industrials,Electrical Equipment & Parts,1432.589,-,4.2,THB
7655,Net Profit,-80.53,-247.19,0.34,198.65,31.44,QTC,QTC Energy PCL,Industrials,Electrical Equipment & Parts,1432.589,-,4.2,THB
7656,EPS (Baht),-0.34,-0.89,-,0.58,0.10,QTC,QTC Energy PCL,Industrials,Electrical Equipment & Parts,1432.589,-,4.2,THB
7657,ROA(%),-8.03,-14.63,1.80,11.53,9.20,QTC,QTC Energy PCL,Industrials,Electrical Equipment & Parts,1432.589,-,4.2,THB
7658,ROE(%),-12.16,-22.53,0.02,12.91,9.47,QTC,QTC Energy PCL,Industrials,Electrical Equipment & Parts,1432.589,-,4.2,THB
7659,Net Profit Margin(%),-14.93,-26.94,0.03,20.15,13.23,QTC,QTC Energy PCL,Industrials,Electrical Equipment & Parts,1432.589,-,4.2,THB
7660,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,QTC,QTC Energy PCL,Industrials,Electrical Equipment & Parts,1432.589,-,4.2,THB
7661,Last Price(Baht),18.50,11.90,4.98,4.20,3.92,QTC,QTC Energy PCL,Industrials,Electrical Equipment & Parts,1432.589,-,4.2,THB
7662,Market Cap.,4995.00,4057.82,1698.64,1432.59,1337.08,QTC,QTC Energy PCL,Industrials,Electrical Equipment & Parts,1432.589,-,4.2,THB
7663,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/03/2020,QTC,QTC Energy PCL,Industrials,Electrical Equipment & Parts,1432.589,-,4.2,THB
7664,P/E,225.72,,,6.98,8.86,QTC,QTC Energy PCL,Industrials,Electrical Equipment & Parts,1432.589,-,4.2,THB
7665,P/BV,6.44,4.25,1.22,0.90,0.80,QTC,QTC Energy PCL,Industrials,Electrical Equipment & Parts,1432.589,-,4.2,THB
7666,Book Value per share (Baht),2.87,3.28,4.07,4.66,4.90,QTC,QTC Energy PCL,Industrials,Electrical Equipment & Parts,1432.589,-,4.2,THB
7667,Dvd. Yield(%),1.28,0.20,,,3.83,QTC,QTC Energy PCL,Industrials,Electrical Equipment & Parts,1432.589,-,4.2,THB
7668,Assets,503.93,505.83,485.24,542.45,531.31,QLT,Qualitech PCL,Industrials,Specialty Business Services,425.816,6.94,4.32,THB
7669,Liabilities,59.96,55.92,46.74,85.95,96.22,QLT,Qualitech PCL,Industrials,Specialty Business Services,425.816,6.94,4.32,THB
7670,Equity,443.97,449.53,438.37,456.46,435.04,QLT,Qualitech PCL,Industrials,Specialty Business Services,425.816,6.94,4.32,THB
7671,Paid-up Capital,98.57,98.57,98.57,98.57,98.57,QLT,Qualitech PCL,Industrials,Specialty Business Services,425.816,6.94,4.32,THB
7672,Revenue,449.07,428.90,377.58,480.58,113.15,QLT,Qualitech PCL,Industrials,Specialty Business Services,425.816,6.94,4.32,THB
7673,Net Profit,44.57,26.39,10.03,50.94,8.15,QLT,Qualitech PCL,Industrials,Specialty Business Services,425.816,6.94,4.32,THB
7674,EPS (Baht),0.45,0.27,0.10,0.52,0.08,QLT,Qualitech PCL,Industrials,Specialty Business Services,425.816,6.94,4.32,THB
7675,ROA(%),9.73,6.04,2.73,10.73,11.89,QLT,Qualitech PCL,Industrials,Specialty Business Services,425.816,6.94,4.32,THB
7676,ROE(%),10.00,5.91,2.26,11.38,12.82,QLT,Qualitech PCL,Industrials,Specialty Business Services,425.816,6.94,4.32,THB
7677,Net Profit Margin(%),9.93,6.15,2.66,10.60,7.20,QLT,Qualitech PCL,Industrials,Specialty Business Services,425.816,6.94,4.32,THB
7678,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,QLT,Qualitech PCL,Industrials,Specialty Business Services,425.816,6.94,4.32,THB
7679,Last Price(Baht),9.10,6.20,4.00,4.32,4.18,QLT,Qualitech PCL,Industrials,Specialty Business Services,425.816,6.94,4.32,THB
7680,Market Cap.,896.97,611.12,394.27,425.82,412.02,QLT,Qualitech PCL,Industrials,Specialty Business Services,425.816,6.94,4.32,THB
7681,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,QLT,Qualitech PCL,Industrials,Specialty Business Services,425.816,6.94,4.32,THB
7682,P/E,12.53,33.56,225.11,10.99,7.33*,QLT,Qualitech PCL,Industrials,Specialty Business Services,425.816,6.94,4.32,THB
7683,P/BV,1.99,1.36,0.92,0.97,0.90,QLT,Qualitech PCL,Industrials,Specialty Business Services,425.816,6.94,4.32,THB
7684,Book Value per share (Baht),4.56,4.54,4.35,4.44,4.63,QLT,Qualitech PCL,Industrials,Specialty Business Services,425.816,6.94,4.32,THB
7685,Dvd. Yield(%),7.14,4.03,8.75,5.79,8.37,QLT,Qualitech PCL,Industrials,Specialty Business Services,425.816,6.94,4.32,THB
7686,Assets,2032.37,2021.62,2086.95,2260.08,,Q-CON,Quality Construction Products PCL,Industrials,Building Products & Equipment,2120.0,1.13,5.3,THB
7687,Liabilities,244.48,228.27,235.55,257.38,,Q-CON,Quality Construction Products PCL,Industrials,Building Products & Equipment,2120.0,1.13,5.3,THB
7688,Equity,1787.89,1793.34,1851.40,2002.70,,Q-CON,Quality Construction Products PCL,Industrials,Building Products & Equipment,2120.0,1.13,5.3,THB
7689,Paid-up Capital,400.00,400.00,400.00,400.00,,Q-CON,Quality Construction Products PCL,Industrials,Building Products & Equipment,2120.0,1.13,5.3,THB
7690,Revenue,1487.49,1712.14,1924.97,2081.50,,Q-CON,Quality Construction Products PCL,Industrials,Building Products & Equipment,2120.0,1.13,5.3,THB
7691,Net Profit,-107.74,5.46,57.27,179.69,,Q-CON,Quality Construction Products PCL,Industrials,Building Products & Equipment,2120.0,1.13,5.3,THB
7692,EPS (Baht),-0.27,0.01,0.14,0.45,,Q-CON,Quality Construction Products PCL,Industrials,Building Products & Equipment,2120.0,1.13,5.3,THB
7693,ROA(%),-4.92,0.15,3.56,9.99,,Q-CON,Quality Construction Products PCL,Industrials,Building Products & Equipment,2120.0,1.13,5.3,THB
7694,ROE(%),-5.76,0.31,3.14,9.32,,Q-CON,Quality Construction Products PCL,Industrials,Building Products & Equipment,2120.0,1.13,5.3,THB
7695,Net Profit Margin(%),-7.24,0.32,2.98,8.63,,Q-CON,Quality Construction Products PCL,Industrials,Building Products & Equipment,2120.0,1.13,5.3,THB
7696,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,Q-CON,Quality Construction Products PCL,Industrials,Building Products & Equipment,2120.0,1.13,5.3,THB
7697,Last Price(Baht),4.94,6.85,4.70,5.30,4.48,Q-CON,Quality Construction Products PCL,Industrials,Building Products & Equipment,2120.0,1.13,5.3,THB
7698,Market Cap.,1976.00,2740.00,1880.00,2120.00,1792.00,Q-CON,Quality Construction Products PCL,Industrials,Building Products & Equipment,2120.0,1.13,5.3,THB
7699,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,Q-CON,Quality Construction Products PCL,Industrials,Building Products & Equipment,2120.0,1.13,5.3,THB
7700,P/E,,,463.87,11.72,9.97,Q-CON,Quality Construction Products PCL,Industrials,Building Products & Equipment,2120.0,1.13,5.3,THB
7701,P/BV,1.08,1.52,1.05,1.08,0.89,Q-CON,Quality Construction Products PCL,Industrials,Building Products & Equipment,2120.0,1.13,5.3,THB
7702,Book Value per share (Baht),4.56,4.49,4.47,4.90,5.01,Q-CON,Quality Construction Products PCL,Industrials,Building Products & Equipment,2120.0,1.13,5.3,THB
7703,Dvd. Yield(%),2.83,,0.64,1.13,4.02,Q-CON,Quality Construction Products PCL,Industrials,Building Products & Equipment,2120.0,1.13,5.3,THB
7704,Assets,53014.30,53059.16,54147.87,50901.91,,QH,Quality Houses PCL,Real Estate,Real Estate - Diversified,27214.529,8.27,2.54,THB
7705,Liabilities,30074.73,28256.94,27878.38,24038.50,,QH,Quality Houses PCL,Real Estate,Real Estate - Diversified,27214.529,8.27,2.54,THB
7706,Equity,22939.58,24802.21,26269.49,26863.42,,QH,Quality Houses PCL,Real Estate,Real Estate - Diversified,27214.529,8.27,2.54,THB
7707,Paid-up Capital,10714.38,10714.38,10714.38,10714.38,,QH,Quality Houses PCL,Real Estate,Real Estate - Diversified,27214.529,8.27,2.54,THB
7708,Revenue,20908.05,19743.93,18117.66,12876.44,,QH,Quality Houses PCL,Real Estate,Real Estate - Diversified,27214.529,8.27,2.54,THB
7709,Net Profit,3084.97,3462.24,3800.74,2853.86,,QH,Quality Houses PCL,Real Estate,Real Estate - Diversified,27214.529,8.27,2.54,THB
7710,EPS (Baht),0.29,0.32,0.35,0.27,,QH,Quality Houses PCL,Real Estate,Real Estate - Diversified,27214.529,8.27,2.54,THB
7711,ROA(%),7.28,7.85,8.76,6.74,,QH,Quality Houses PCL,Real Estate,Real Estate - Diversified,27214.529,8.27,2.54,THB
7712,ROE(%),13.87,14.50,14.88,10.74,,QH,Quality Houses PCL,Real Estate,Real Estate - Diversified,27214.529,8.27,2.54,THB
7713,Net Profit Margin(%),14.75,17.54,20.98,22.16,,QH,Quality Houses PCL,Real Estate,Real Estate - Diversified,27214.529,8.27,2.54,THB
